item,required_evidence,actual_approver,decision,approved_wording_or_reference,review_due
SC license,Current exact entity number classification status and official URL,,pending,,
NC license and scope,Current exact credentials and authorized service wording,,pending,,
Buyer-facing office,Address use appointment access and verified hours,,pending,,
Financing,Actual lender products relationships and approved disclosures,,pending,,
Privacy,Data/vendor inventory retention access deletion and approved policy,,pending,,
SMS,Vendor consent evidence purpose opt-out and approved disclosures,,pending,,
Call recording,Actual system consent process and approved wording,,pending,,
New project media,Explicit permission scope and public-safe photo copy,,pending,,
Guide staff review,Named reviewer current sources claim-by-claim decision,,pending,,
Active package,Current staff verified availability scope price policy and ownership,,pending,,
